"ACRONIMO";"Columna1";"Observaciones";
"CUGAR";"Cuartel General del Comando General de la Armada";;"DND_(CD 3er Informe)_ ARMADA NACIONAL COMANDO GENERAL DE LA ARMADA QUINTA DIVISION DEL ESTADO MAYOR GENRAL Guía Telefónica edición 2006"
"D o";"Documento oficial";"Agregar ruta CNNCasoRocha-040fso1a-1038";
"D. Nal de I. e I.";"Dirección Nacional de Información e Inteligencia";;
"DATA";"Departamento de Asesoría Técnica de la Armada";;
"DATA";"Jefe del Departamento de Asesoramiento Técnico de la Armada.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DE-1";;;
"DE-2";;;
"DE-IV";"División Ejército Nro 4";;
"DEBOT     ";" Encargado del Destacamento Rincón del Bonete";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DECAD";;;
"DECOM";"Departamento de Comunicaciones de Prefectura Nacional Naval.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DECON";"Departamento de Contraloría Naval";;
"DELEA";"DEpartamento de LEgislación y Acuerdos internacionales";;
"DEPOL";"Destacamento San Gregorio de Polanco";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DGID";"Dirección General de Información de Defensa";;
"DGS";;"Lista de destinatarios";"Dossier 3510 - IMPERINT"
"DGS ó DIGESE";"Dirección General de Secretaría";;
"DI.CI.NA";;;
"DICER";"Dique Cerro.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DIDEN";"DIvisión de DEportes Náuticos";;
"DIGFA";"DIrección General de FinanzAs";;
"DII";"Dirección de Información e Inteligencia";;
"DILAN";"División de Lanchas de Mar de Prefectura Nacional Naval.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DILOG";"División Logística del Estado Mayor de Prefectura Nacional Naval";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DIMAR";"DIrección de tráfico MARítimo";;
"DIMAR";"Director de Tráfico Marítimo.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DIMAT";"DIrección general de MATerial naval";;
"DIMAU";"Dique Mauá.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DIMYC";"Comandante de la División Minado y Contraminado.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DINACIE";"DIrección NACional Inteligencia de Estado";;
"DINCO";"Director Nacional del Sistema de Control de Derrames Contaminantes.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DIPER";"Dirección general de Personal Naval";;
"DIPRE";"Dirección de Inteligenciade PREfectura naval";;"Actualmente DIVIN"
"DIR I AYPRE REPRE DIVIN";;;
"DIRAD";;;"C/S® Nro 15/982dossier Nro 6877 Operación Lagarto año 82"
"DIRCI";"DIRección de CIrcuncripciones PNN";;"ARCHIVO PNN/CASOS JUDICIALIZADOS/Caso San Juan 1976/Documentos Papel/JPG/CNNCaso SJuan-001fs01a-1178.JPG"
"DIREF";"Direccción de Educación Física Naval";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DIRMA";"Dirección de Protección del Medio Ambiente de la Prefectura Nacional Naval.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DIRME";"DIrección Registral y de marina MErcante";;
"DISEA";"Director de Seguridad Aeronaval.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DISEPRE";"DIrección de SEguridad de PREfectura";;
"DIST";;;
"DITRA";"División Trámite Documentario.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DIVES";"Comandanddo de la División Escolta.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DIVIN";"DIVisión INteligencia e investigación de la prefectura nacional naval/ División Informaciones";;
"DIVLO";;;"C/S® Nro 15/982dossier Nro 6877 Operación Lagarto año 82"
"DIVMA";"División Matrículas de la Dirección Registral y de Marina Mercante.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"DIVMI";"División Microfilmación.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2007"
"DIVOP";"División Operaciones del Estado Mayor de Prefectura Nacional Naval";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2008"
"DIVPA";"División Patrulla.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2009"
"DIVPE";"División Personal del Estado Mayor de Prefectura Nacional Naval";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2010"
"DIVRE";"División de Registro de Personal de Marina Mercante.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2011"
"DIVSA";"División Sanidad de Prefectura Nacional Naval.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2012"
"DIVSE";"División Servicios.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2013"
"DNII";"Dirección Nacional de Información e Inteligencia";;
"DNPT";"Dirección Nacional de Policía Técnica";;
"DNSFFAA";"Dirección Nacional de Sanidad de las Fuerzas Armadas.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2013"
"DOI";"Destacamento de Operaciones e Información (Brasil)";;
"E II";"Inteligencia del Ejercito";;
"EAF";"Equipo de Apoyo de Fuego";;
"ECEME";"Eela de Comando Estado Mayor del Ejército";;
"ECO";"Enlace Comunicación Operativa";;
"EDO";"Ejército Demócrata Oriental";;
"EDPRE";"Edecán Naval del Presidente de la República.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"EE/AA";"Estaciones de Área";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2007"
"EE/DD";"Estaciones Dependientes";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2008"
"EE/EE";"Estaciones de Enlace";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2009"
"EE/PP";"Estaciones Primarias";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2010"
"EE/SS";"Estaciones secundarias";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2011"
"EEI";"Elementos Esenciales de Información";;
"EEM";"Eela del Estado Mayor (IMES)";;
"EF ó E/F";"Económico Financiero";;
"EFCSA";"Establecimiento Frigorífico del Cerro Sociedad Anónima";;
"EIE";"Eela de Inteligencia del Ejército";;
"EIR";"Executiv Inteligence Revew";;
"ELECTROPINT";"INTeligencia ELECTro- Optica";"Denominación Internacional";
"ELINT";"INTeligencia Electrónica";"Denominación Internacional";
"ELN BO";"Ejército de Liberación Nacional BOliviano";;
"EMA";"Escuela Militar de Aeronáutica";;
"EMCOM";"Estado Mayor COMunicaciones";;
"EMCOM";"División Comunicaciones del Estado Mayor General de la Armada (N-5)";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"EMCOM (N-5)";"Quinta División del Estado Mayor General";;"DND_(CD 3er Informe)_ ARMADA NACIONAL COMANDO GENERAL DE LA ARMADA QUINTA DIVISION DEL ESTADO MAYOR GENRAL Guía Telefónica edición 2006"
"EMDIN";"Jefe de la División Informática Naval del Estado Mayor General de la Armada (N-6)";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"EMDIN (N-6)";"Sexta División del Estado Mayor General";"Estado Mayor de Informática Naval";"DND_(CD 3er Informe)_ ARMADA NACIONAL COMANDO GENERAL DE LA ARMADA QUINTA DIVISION DEL ESTADO MAYOR GENRAL Guía Telefónica edición 2006"
"EME";"Estado Mayor del Ejercito";;
"EMFLO";"Estado Mayor de la Flota";;"DND_(CD 3er Informe)_ ARMADA NACIONAL COMANDO GENERAL DE LA ARMADA QUINTA DIVISION DEL ESTADO MAYOR GENRAL Guía Telefónica edición 2006"
"EMFTAC";"Estado Mayor de las Fuerzas TACticas";;
"EMFUEMA";"Jefe del Estado Mayor de las Fuerzas de Mar.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"EMFUSNA";"Estado Mayor FUSNA";;
"EMGA";"EStado MAYor general de la armada";;
"EMGE";"Estado Mayor General del Ejército";;
"EMGralFA";"Estado Mayor General de la Fuerza Aérea";;
"EMINT";"Estado Mayor de INTeligencia";"EMINT N2";
"EMINT";"División Inteligencia del Estado Mayor General de la Armada (N-2).";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"EMINT (N-2)";"Segunda División del Estado Mayor General";"[Estado Mayor de Inteligencia Naval]";"DND_(CD 3er Informe)_ ARMADA NACIONAL COMANDO GENERAL DE LA ARMADA QUINTA DIVISION DEL ESTADO MAYOR GENRAL Guía Telefónica edición 2006"
"EMLOG";"División Logística del Estado Mayor General de la Armada (N-4).";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"EMLOG (N-4)";"Cuarta División del Estado Mayor General";"[Estado Mayor de Logística Naval]";"DND_(CD 3er Informe)_ ARMADA NACIONAL COMANDO GENERAL DE LA ARMADA QUINTA DIVISION DEL ESTADO MAYOR GENRAL Guía Telefónica edición 2006"
"EMMAT";"Estado Mayor de Material Naval";;"DND_(CD 3er Informe)_ ARMADA NACIONAL COMANDO GENERAL DE LA ARMADA QUINTA DIVISION DEL ESTADO MAYOR GENRAL Guía Telefónica edición 2006"
"EMMAT";"Estado Mayor de la Dirección General de Material Naval.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"EMN N-1";;;
"EMN N-2";;;
"EMN N-3";;;
"EMN N-4";;;
"EMN N-5";;;
"EMNR 1";"Establecimiento Militar de Reclusión Nro 1 (hombres)";"Penal de Libertad";
"EMNR 1";"Establecimiento Militar de Reclusión Nro 1 (mujeres)";"Penal de Paso de los Toros";
"EMNR 2";"Establecimiento Militar de Reclusión Nro 3 (mujeres)";"Penal de Punta de Rieles";
"EMOPE";;;
"EMP";"Estado Mayor Personal";;
"EMPER";"Estado Mayor de PERsonal";;
"EMPER";"División Personal del Estado Mayor General de la Armada (N-1).";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"EMPER (N-1)";"Primera División del Estado Mayor General";"[Estado Mayor de Personal Naval]";"DND_(CD 3er Informe)_ ARMADA NACIONAL COMANDO GENERAL DE LA ARMADA QUINTA DIVISION DEL ESTADO MAYOR GENRAL Guía Telefónica edición 2006"
"EMPLA";"Estado Mayor de política y PLAnes";"EMPLA N3";
"EMPLA";"División Planes del Estado Mayor General de la Armada  (N-3)";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"EMPLA (N-3)";"Tercera División del Estado Mayor General";"[Estado Mayor de Planes y Operaciones Navales]";"DND_(CD 3er Informe)_ ARMADA NACIONAL COMANDO GENERAL DE LA ARMADA QUINTA DIVISION DEL ESTADO MAYOR GENRAL Guía Telefónica edición 2006"
"EMPRE";"Estado Mayor de la PREfectura nacional naval";;
"EMR";"Establecimiento Militar de Reclusion";;
"ENFD";;"[VIOLACIÓN DE LIBERTAD VIGILADA o NO PRESENTARSE A LISTA]";"LMN 14, 1981 CAJA 8"
"ENFE";;"[REGULARIZAR LA SITUACIÓN ENFD]";"LMN 14, 1981 CAJA 8"
"ENLOG";"Estado Mayor LOGística";"ENLOG N4";
"ERP";"Ejercito Revolucionario del Pueblo";;
"ESANA";"Eela de Aviación Naval ""C/C MAYO VILLAGRAN""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ESCAN";"Grupo de Eadrones.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ESEDENA";"Eela de Seguridad y Defensa Nacional";;
"ESESP";"Eela de ESPecialidades de la armada";;
"ESFUS";"Eela de Fusileros Navales";;
"ESGUE";"Eela de GUErra naval";;
"ESINT";"INTELIGENCIA DE SEÑALES FORÁNEAS";"Denominación Internacional";
"ESMACO";"Estado Mayor Conjunto";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ESMADE";"Estado MAyor de la DEfensa";;
"ESMAN";"Estado Mayor del Comando de la Aviación Naval.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ESMAR";"Escribanía de Marina de Prefectura Nacional Naval.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ESMAY";"EStado MAYor general de la armada";;
"ESMAY";"Jefe del Estado Mayor General de la Armada.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ESNAL";"Eela Naval.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ESPAN";;;
"ESPRE";;;"C/S® Nro 15/982dossier Nro 6877 Operación Lagarto año 82"
"ETA";"Eela Técnica de Aeronautica";;
"ETA";"Euskadi Ta Askatasuna";;
"FA";"Frente Amplio";;"Dossier 2215"
"FAPOL";"Faro de Cabo Polonio.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"FAR";"Frente Armado Revolucionario";;
"FARBA";"Faro de Punta Brava.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"FARCE";"Faro del Cerro de Montevideo.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2007"
"FARCO";"Faro de Colonia.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2008"
"FARJI";"Faro de José Ignacio.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2009"
"FARLO";"Faro de Isla de Lobos.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2010"
"FARMA";"Faro de Santa María.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2011"
"FARO";"Fuerzas Armadas Revolucionarias Orientales";;
"FAU";"Fuerza Aérea Uruguaya";;
"FAU";"Federación Anarqista del Uruguay";;
"FARPE";"Faro de Punta del Este.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"FECOVI";"FEderacion de COoperativas de VIvienda";;
"FENACOVI";"FEderacion NAcional de COoperativas de VIvienda";;
"FER ó FER 68";"Frente de Estudiantes Revolucionario ó Frente Estudiantil Revolucionario";;
"FFAA";"Fuerzas Armadas";;
"FFCC";"Fuerzas Conjuntas";;
"FI";"Fuentes de Información";;
"FIDEL";"Frente Izquierdo de Liberación";;"Dossier 2214"
"FMJD";"Federación Mundial de las Juventudes Democráticas";;
"FPPU";"Familiares de Presos Politicos Uruguay";;
"FRIA";"Fuerzas Revolucionarias Internacionales";;
"FRT";"Frente Revolucionario de los Trabajadores";;
"FSM";"Fuerza de Seguridad Marítima";;
"FT";"FracoTirador";;
"FT N° 2290 ESMAY";;;
"FUCVAM";"Federación Uruguaya de Cooperativas de Vivienda por Ayuda Mutua";;
"FUEMA";"FUErzas del MAr";;
"FSLN";"Frente Sandinista de Liberacion Nacional";;
"FUSEM";;;"C/S® Nro 15/982dossier Nro 6877 Operación Lagarto año 82"
"FUSEN";"Fuerza de Seguridad";"Actualmente UNAP";
"FUSNA";"FUSileros NAvales";;
"FUSNA";"Comandante del Cuerpo de Fusileros Navales.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"G/D";"Granadero-Demoledor";;
"GABAR      ";"Jefe de Gabinete del Sr. Comandante en Jefe de la Armada";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"GAF";"Grupo de Apoyo en Formación";;
"GERC 10";;;
"GRISUR";"GRupo de Información y Solidaridad con el URuguay";;"BD Dossier N° 13034"
"GRP";"Grupo";;
"GRUBU";"GRUpo de BUseo y salvamento de la armada";;
"GRUYO";"GRUpo de apoYO de la Armada";;
"GS-20";;;
"GS-24";;;
"HUMINT";"Inteligencia Humana";"Denominación Internacional";
"IAC";;"INFORME DE INVESTIGACIÓN N.º 01/3174 (punto 3 ALCANCE)";
"IAP";;"INFORME DE INVESTIGACIÓN N.º 01/3174 (punto 3 ALCANCE)";
"IAU";"Presidente del Instituto Antártico Uruguayo.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ICUCH";"Instituto Cultural Uruguay China";;
"IDI";"Izquierda Democratica Independiente";;
"IET";"Informe sobre el Estado de la Técnica";;
"IFI";"Izquierda Frenteamplista Independiente";;
"IGE";;;
"IGM";;;
"IHAP";;"INFORME DE INVESTIGACIÓN N.º 01/3174 (punto 3 ALCANCE)";
"IMES";"Instituto Militar de Estudios Superiores";;
"IMINT";"INTeligencia IMaginaria";"Denominación Internacional";
"IMINT";"Información de Imágenes";;
"IMPERINT";;;
"IMPRIN (INPERIN)";"INforme PERiódico de INformación";;
"INDIA";;;
"INF CONF";"INForme CONFidencial";;
"ININT";;;
"INIT";"INforme de InTeligencia";;
"INMAR";"INfantería de la ARMada";;
"Insp Gral";"Inspector General";"PNN/CASOS JUDICIALIZADOS/Caso Sin Nro-2 1976-1978/Carpeta Div Intel Dpto Tec Nro68A/CNNCasoSn2-013fs01r-1334.jpg";
"INSP.ESC. Y CURSOS";;;
"IRI";"Izquierda Revolucionaria Independiente";;
"IRINT";"INTELIGENCIA INFRAROJA";"Denominación Internacional";
"ISI";"Informe Semanal de Inteligencia";;
"JACEN";"Jefe del Área Naval Centro.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"JANCAR";"Jefe del Área Naval Comando General de la Armada.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2007"
"JAPAL   ";"Jefe del Área Naval La Paloma.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2008"
"JARCE";"Jefe del Área Naval Cerro.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2009"
"JARGU";"Jefe del Área Naval Guruyú.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2010"
"JARLA";"Jefe del Área Naval Laguna del Sauce.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2011"
"JARMI";"Jefe del Área Naval Miramar";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2012"
"JARPU";"Jefe del Área Naval Puerto.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2013"
"JCJ";"Junta de Comandantes en Jefe";;
"JCJ/SID";;;
"JCR";"Junta Coordinadora Revolucionaria";;
"JECAM";"Jefe de la Casa Militar.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"JECLI";;;
"JECOA";"JEfatura de la Circunscripción del Océano Atlántico";;
"JECOA";"Jefe del Área Océano Atlántico";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"JECRI";"JEfatura de la Circunscripción del RÍo de la plata";;
"JECRI";"Jefe del Área Río de la Plata.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"JECRO";"JEfatura de la Circonscripción del Río negrO";;
"JECUR";"JEfatura de la Circunscripción del río URuguay";;
"JEDAF";"Jefe del Equipo De Apoyo del Fuego";;
"JEFAN";"Jefe de la Fuerza Aeronaval.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"JEFLO";"Jefe de Servicio del Comando de la Flota.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"JEMGA";;;
"JEMP";"Jefe del Estado Mayor Personal";;
"JESAR";"Jefe del Centro Coordinador SAR en el Mar.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"JESER";"Jefe de Servicio del Comando General de la Armada";;
"JESER";"Jefe de Servicio del Comando General de la Armada.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"JESFU";"Jefe de Servicio de FUEMA";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"JID/OEA";"Junta Interamericana de Defensa / Organización de Estados Americanos";;
"JMI";"Juez Militar de Instrucción";;
"JOOGG";"Junta de Oficiales Generales";;
"JPM";"Justicia Penal Militar- Jefatura de Policía de Maldonado";;
"JUMAE";"JUnta de Metodos y Análisis Estratégicos";;
"JUP";"Juventud Uruguaya de Pie";;
"JUPRE";"Juez Sumariante de Prefectura Nacional Naval.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"JUSUMA";"Juez Sumariante de la Armada.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"JUZMI";"Juez Militar de Instrucción.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"L/C";"LanzaCohetes";;
"LA";"Lineas de Acción";;
"LADES";"Grupo de Lanchas de Desembarco.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"LASINT";"INTELIGENCIA LASER";"Denominación Internacional";
"LAW";"Light Antibank Weapon- Arma Antitanque Liviana";;
"LIGMA";"Liga Marítima";"Instituciones Sociales";
"LOA";"Liga Oriental Anticomunista";;
"M/N";"Mensajes Navales";;
"MAGAN";"Mantenimiento Gral. De la Aviación Naval";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"MARPOL";;;
"MASINT";"medidas y señales";;
"MASINT";"Información de mediciones y firmas";"Denominación Internacional";
"MB";"Medios de Búsqueda";;
"MC";"Movimiento Cooperativo";;
"MCC";"Movimiento Cívico Cristiano";;"Dossier 2216"
"MCO";"Mesa Central de Operaciones";;
"MDN";"Ministerio de Defensa Nacional";;
"MEDINT";"INTELIGENCIA MÉDICA";"Denominación Internacional";
"METMAR";;;
"MIDEN";"Ministerio de Defensa Nacional.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"MIEO";"Mesa Inteligencia, Enlace y Operaciones (Dto. III)";;
"MLN-T";"Movimiento de Liberación Nacional-Tupamaros";;
"MINREX";"Ministro de Relaciones Exteriores.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"MINTERIOR";"Ministerio del Interior";;
"MIR CH";"Movimiento Izquierda Revolucionario Chileno";;
"MM";"Movimiento Marxista";;
"MP (FUS)";"Marinero de Primera (Fusilero ó Fusna)";;
"MPFU";"Marinero de Primera Fusileros";;"CARPETA CFA 502,"
"MPI";"Metodología de la Producción de Inteligencia";;
"MPP";"Movimiento de Participación Popular";;
"MRCC UY";"Centro Coordinador de Búsqueda y Rescate en el Mar";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"MRN";"Movimiento de Restauración Nacional";;
"MRO";"Marinero";;
"MRO";"Movimiento Revolucionario Oriental";;
"MRTA";"Movimiento Revolucionario Tupac Amaru";;
"MRREE";"Ministerio de Relaciones Exteriores";;
"MS-31";;;
"MS-32";;;
"MS-33";;;
"MULN";"Movimiento Uruguayo de Liberación Nacional";;
"MUN";"Movimiento Universitario Nacionalista";;
"MUSINT";"INTELIGENCIA NUCLEAR";"Denominación Internacional";
"MUSP";"Movimiento de Unificación Socialista Proletario";;
"MUSP";"Movimiento Unificación Socialista Proletaria";;"ficha BD N.º 520130 ALFARO VAZQUEZ, Daniel Pedro"
"O/D";"Ordenes Desciplinarias";;
"OBCGE";;"Documento numerado femenino";"CARPETA CFA 502,"
"OCIP";;"VINCULADO AL COSENA";
"OCIP- COSENA";"OCIP- COnsejo de SEguridad NAcional";;
"OCMC";"Oficial de Control de Material Clasificado";;
"OCMCS";"Oficial de Control de Material Clasificado Secreto Sustituto";;
