"ACRONIMO";"Columna1";"Observaciones";
"ANALA";"Área Naval Laguna del Sauce";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ANAMI";"Area Naval MIramar- carrasco";"Campo educativo Naval";
"ANAPA";"Area Naval La Paloma";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ANAPU";"Area Naval del PUerto";;
"ANAPU";"Área Naval Puerto";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2007"
"ANCAR";"Area Naval Comando de la ARmada";"Comando General";
"ANCEN";"Área Naval Centro";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ANPAL";"Apostadero Naval del puerto de la PALoma";;
"ANPAL";"Jefe de la Base Naval ""C/C ERNESTO MOTTO"".";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ANTEL";"Administración Nacional de TELecomunicaciones";;
"APJA";;;
"ARCHIVO";;;
"ARNAV";"ARsenal NAVal";;
"AROU";"Armada de la ROU";;
"AS:";"ASunto:";;"ARCHIVO PNN/CASOS JUDICIALIZADOS/Caso San Juan 1976/Documentos Papel/JPG/CNNCaso SJuan-001fs01a-1178.JPG"
"ASELA";"ASEsoría Letrada de la Armada";;
"ASELA";"Asesoría Letrada de la Prefectura Nacional Naval";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ASEMG";"Asesoría del Jefe del Estado Mayor General de la Armada";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ASEMG      ";"Jefe de la Asesoría del Jefe del Estado Mayor General de la Armada";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ASP";"Autorización Salidas Personales";;
"ASTEC";"Asesoria Técnica del comando de la Flota";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ASU";"Axión Sindical del Uruguay";;
"AT";"Apoyo Técnico (Dpto. V SID)";;
"AU";"Asamblea Uruguay";;
"AUDEM";"Asocición Uruguaya DE Músicos";;
"AUTE";"Agrupación de funcionarios de UTE";;
"AYCAR";"Ayudante del Comandante en Jefe de la Armada.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"AYEMA";"AYudantía del Estado MAyor";;
"AYEMA";"Ayudante del Jefe del Estado Mayor General de la Armada";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"AYFLO";"Ayudante del Comandante de la Flota";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"AYPRE";"AYudantia de la PREfectura nacional naval";;
"AYPRE";"Ayudante del Prefecto Nacional Naval";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"AYUD.";;;
"AYUDANTIA OJA";;;
"BAEN";;;"Viene de FAN DE PEDREIRA BRUM Carlos, remite a un informe de BAEN 2"
"BAEN-2";"Base Aeronaval ""C/C Carlos Curbelo""";;"DND_(CD 3er Informe)_ ARMADA NACIONAL COMANDO GENERAL DE LA ARMADA QUINTA DIVISION DEL ESTADO MAYOR GENRAL Guía Telefónica edición 2006"
"BAEN2";"Base Aeronaval Nr. 2 ""C/C CARLOS CURBELO"".";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"BAF";"Base de Apoyo por Fuego";;
"BANAPU";"BAse Naval del PUerto de montevideo";;
"BANAPU";"Base Naval del Puerto de Montevideo “C/N Carlos Machitelli”";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"BDT";"Banda de Delincuentes Terroristas";"Dossier 4844A Montoneros (Argentina)";
"BIENA";"Dirección de Bienestar Naval";;"DND_(CD 3er Informe)_ ARMADA NACIONAL COMANDO GENERAL DE LA ARMADA QUINTA DIVISION DEL ESTADO MAYOR GENRAL Guía Telefónica edición 2006"
"BIENA";"Bienestar Naval";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"BHU";"Banco Hipotecario del Uruguay";;
"BMDN";"Boletin de Ministerio de Defensa Nacional";;
"BOD";"Boletín Oficial del Ministerio de Defensa";;
"BRIGINST";"BRIGada de INSTrucción FUSNA";;
"BRIGSER";"BRIGada de SERvicios";;
"C";"Partido Colorado";;"Dossier 2201"
"C S OCOA";"[Carpeta S OCOA]";;
"C/C";"Capitán de Corbeta";;
"C/E";"Cuerpo de Equipaje";;
"C/F- C.F.";"Capitán de Fragata";;
"C/I";"Contra Inteligencia";;
"C/N";"Capitán de Navío";;
"C/S";"Carta de Servicio";;
"C/S® Nro 15/982dossier Nro 6877 Operación Lagarto año 82";"Faro de Isla de Flores.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"C/S® Nro 15/982dossier Nro 6877 Operación Lagarto año 82";"OBJetivos";;
