rollo,id,filename
611,2109,r611_2109.1976
611,2123,r611_2123.1976
611,2126,r611_2126.1976
611,2130,r611_2130.1976
611,2132,r611_2132.1976
611,2139,r611_2139.1976
611,2140,r611_2140.1976
611,2143,r611_2143.1976
611,2172,r611_2172.1976
611,2182,r611_2182.1976
611,2194,r611_2194.1976
611,2203,r611_2203.1976
611,2211,r611_2211.1976
611,2221,r611_2221.1976
611,2230,r611_2230.1976
611,2240,r611_2240.1976
611,2252,r611_2252.1976
611,2260,r611_2260.1976
611,2261,r611_2261.1976
611,2270,r611_2270.1976
611,2277,r611_2277.1976
611,2281,r611_2281.1976
611,2316,r611_2316.1976
611,2317,r611_2317.1976
611,2326,r611_2326.1976
611,2328,r611_2328.1976
611,2351,r611_2351.1976
611,2373,r611_2373.1976
611,2379,r611_2379.1976
611,2391,r611_2391.1976
611,2396,r611_2396.1976
611,2413,r611_2413.1976
611,2417,r611_2417.1976
629,10,r629_0010.1975
629,11,r629_0011.1975
629,15,r629_0015.1975
629,31,r629_0031.1975
629,42,r629_0042.1975
629,49,r629_0049.1975
629,50,r629_0050.1975
629,59,r629_0059.1975
629,60,r629_0060.1975
629,140,r629_0140.1975
629,141,r629_0141.1975
629,180,r629_0180.1975
629,191,r629_0191.1975
629,198,r629_0198.1975
629,206,r629_0206.1975
629,246,r629_0246.1975
629,252,r629_0252.1975
629,275,r629_0275.1975
629,283,r629_0283.1975
629,286,r629_0286.1975
629,303,r629_0303.1975
629,305,r629_0305.1975
629,325,r629_0325.1975
629,330,r629_0330.1975
629,335,r629_0335.1975
629,337,r629_0337.1975
629,349,r629_0349.1975
629,350,r629_0350.1975
629,358,r629_0358.1975
629,361,r629_0361.1975
629,363,r629_0363.1975
629,366,r629_0366.1975
629,369,r629_0369.1975
629,380,r629_0380.1975
629,406,r629_0406.1975
629,413,r629_0413.1975
629,430,r629_0430.1975
629,442,r629_0442.1975
629,460,r629_0460.1975
629,461,r629_0461.1975
629,502,r629_0502.1975
629,506,r629_0506.1975
629,511,r629_0511.1975
629,513,r629_0513.1975
629,521,r629_0521.1975
629,526,r629_0526.1975
629,527,r629_0527.1975
629,533,r629_0533.1975
629,534,r629_0534.1975
629,543,r629_0543.1975
629,544,r629_0544.1975
629,545,r629_0545.1975
629,548,r629_0548.1975
629,584,r629_0584.1975
629,587,r629_0587.1975
629,600,r629_0600.1975
629,609,r629_0609.1975
629,618,r629_0618.1975
629,620,r629_0620.1975
629,624,r629_0624.1975
629,625,r629_0625.1975
629,638,r629_0638.1975
629,639,r629_0639.1975
629,643,r629_0643.1975
629,663,r629_0663.1975
629,668,r629_0668.1975
629,670,r629_0670.1975
629,695,r629_0695.1975
629,708,r629_0708.1975
629,714,r629_0714.1975
629,716,r629_0716.1975
629,729,r629_0729.1975
629,738,r629_0738.1975
629,739,r629_0739.1975
629,740,r629_0740.1975
629,750,r629_0750.1975
629,753,r629_0753.1975
629,759,r629_0759.1975
629,767,r629_0767.1975
629,785,r629_0785.1975
629,786,r629_0786.1975
629,798,r629_0798.1975
629,801,r629_0801.1975
629,808,r629_0808.1975
629,823,r629_0823.1975
629,830,r629_0830.1975
629,833,r629_0833.1975
629,856,r629_0856.1975
629,862,r629_0862.1975
629,882,r629_0882.1975
629,886,r629_0886.1975
629,917,r629_0917.1975
629,936,r629_0936.1975
629,959,r629_0959.1975
629,960,r629_0960.1975
629,967,r629_0967.1975
629,988,r629_0988.1975
629,1001,r629_1001.1975
629,1014,r629_1014.1975
629,1019,r629_1019.1975
629,1023,r629_1023.1975
629,1026,r629_1026.1975
629,1029,r629_1029.1975
629,1046,r629_1046.1975
629,1047,r629_1047.1975
629,1088,r629_1088.1975
629,1106,r629_1106.1975
629,1109,r629_1109.1975
629,1131,r629_1131.1975
629,1157,r629_1157.1975
629,1163,r629_1163.1975
629,1169,r629_1169.1975
629,1183,r629_1183.1975
629,1185,r629_1185.1975
629,1186,r629_1186.1975
629,1188,r629_1188.1975
629,1189,r629_1189.1975
629,1192,r629_1192.1975
629,1204,r629_1204.1975
629,1234,r629_1234.1975
629,1258,r629_1258.1975
629,1260,r629_1260.1975
629,1275,r629_1275.1975
629,1282,r629_1282.1975
629,1290,r629_1290.1975
629,1300,r629_1300.1975
629,1327,r629_1327.1975
629,1342,r629_1342.1975
629,1349,r629_1349.1975
629,1350,r629_1350.1975
629,1370,r629_1370.1975
629,1380,r629_1380.1975
629,1395,r629_1395.1975
629,1397,r629_1397.1975
629,1407,r629_1407.1975
629,1409,r629_1409.1975
629,1412,r629_1412.1975
629,1436,r629_1436.1975
629,1464,r629_1464.1975
629,1476,r629_1476.1975
629,1483,r629_1483.1975
629,1487,r629_1487.1975
629,1493,r629_1493.1975
629,1498,r629_1498.1975
629,1521,r629_1521.1975
629,1538,r629_1538.1975
629,1543,r629_1543.1975
629,1544,r629_1544.1975
629,1547,r629_1547.1975
629,1553,r629_1553.1975
629,1563,r629_1563.1975
629,1573,r629_1573.1975
629,1580,r629_1580.1975
629,1594,r629_1594.1975
629,1608,r629_1608.1975
629,1614,r629_1614.1975
629,1616,r629_1616.1975
629,1624,r629_1624.1975
629,1629,r629_1629.1975
629,1630,r629_1630.1975
629,1631,r629_1631.1975
629,1642,r629_1642.1975
629,1654,r629_1654.1975
629,1675,r629_1675.1975
629,1678,r629_1678.1975
629,1685,r629_1685.1975
629,1687,r629_1687.1975
629,1690,r629_1690.1975
629,1700,r629_1700.1975
629,1703,r629_1703.1975
629,1707,r629_1707.1975
629,1718,r629_1718.1975
629,1728,r629_1728.1975
629,1740,r629_1740.1975
629,1755,r629_1755.1975
629,1768,r629_1768.1975
629,1776,r629_1776.1975
629,1786,r629_1786.1975
629,1788,r629_1788.1975
629,1794,r629_1794.1975
629,1800,r629_1800.1975
629,1819,r629_1819.1975
629,1820,r629_1820.1975
629,1840,r629_1840.1975
629,1841,r629_1841.1975
629,1845,r629_1845.1975
629,1850,r629_1850.1975
629,1857,r629_1857.1975
629,1874,r629_1874.1975
629,1876,r629_1876.1975
629,1898,r629_1898.1975
629,1904,r629_1904.1975
629,1907,r629_1907.1975
629,1914,r629_1914.1975
629,1927,r629_1927.1975
629,1936,r629_1936.1975
629,1948,r629_1948.1975
629,1956,r629_1956.1975
629,1973,r629_1973.1975
629,1975,r629_1975.1975
629,1978,r629_1978.1975
629,1992,r629_1992.1975
629,1995,r629_1995.1975
629,2020,r629_2020.1975
629,2031,r629_2031.1975
629,2033,r629_2033.1975
629,2049,r629_2049.1975
629,2051,r629_2051.1975
629,2060,r629_2060.1975
629,2078,r629_2078.1975
629,2093,r629_2093.1975
629,2096,r629_2096.1975
629,2100,r629_2100.1975
629,2105,r629_2105.1975
629,2120,r629_2120.1975
